Week of Week Ending Date,Jurisdiction of Occurrence,All Cause
"April 13, 2014",South Dakota,151
"April 20, 2014",South Dakota,137
"April 27, 2014",South Dakota,140
"May 4, 2014",South Dakota,145
"May 11, 2014",South Dakota,119
"May 18, 2014",South Dakota,144
"May 25, 2014",South Dakota,128
"June 1, 2014",South Dakota,100
"June 8, 2014",South Dakota,139
"June 15, 2014",South Dakota,127
"June 22, 2014",South Dakota,134
"June 29, 2014",South Dakota,125
"July 6, 2014",South Dakota,146
"July 13, 2014",South Dakota,143
"July 20, 2014",South Dakota,140
"July 27, 2014",South Dakota,135
"August 3, 2014",South Dakota,120
"August 10, 2014",South Dakota,164
"August 17, 2014",South Dakota,144
"August 24, 2014",South Dakota,140
"August 31, 2014",South Dakota,130
"September 7, 2014",South Dakota,143
"September 14, 2014",South Dakota,150
"September 21, 2014",South Dakota,146
"September 28, 2014",South Dakota,144
"October 5, 2014",South Dakota,148
"October 12, 2014",South Dakota,157
"October 19, 2014",South Dakota,166
"October 26, 2014",South Dakota,143
"November 2, 2014",South Dakota,140
"November 9, 2014",South Dakota,133
"November 16, 2014",South Dakota,179
"November 23, 2014",South Dakota,151
"November 30, 2014",South Dakota,166
"December 7, 2014",South Dakota,160
"December 14, 2014",South Dakota,158
"December 21, 2014",South Dakota,160
"December 28, 2014",South Dakota,172
"January 4, 2015",South Dakota,182
"January 11, 2015",South Dakota,173
"January 18, 2015",South Dakota,143
"January 25, 2015",South Dakota,180
"February 1, 2015",South Dakota,132
"February 8, 2015",South Dakota,129
"February 15, 2015",South Dakota,179
"February 22, 2015",South Dakota,161
"March 1, 2015",South Dakota,165
"March 8, 2015",South Dakota,174
"March 15, 2015",South Dakota,150
"March 22, 2015",South Dakota,162
"March 29, 2015",South Dakota,139
"April 5, 2015",South Dakota,157
"April 12, 2015",South Dakota,159
"April 19, 2015",South Dakota,161
"April 26, 2015",South Dakota,132
"May 3, 2015",South Dakota,149
"May 10, 2015",South Dakota,143
"May 17, 2015",South Dakota,130
"May 24, 2015",South Dakota,140
"May 31, 2015",South Dakota,134
"June 7, 2015",South Dakota,143
"June 14, 2015",South Dakota,139
"June 21, 2015",South Dakota,155
"June 28, 2015",South Dakota,148
"July 5, 2015",South Dakota,139
"July 12, 2015",South Dakota,169
"July 19, 2015",South Dakota,145
"July 26, 2015",South Dakota,147
"August 2, 2015",South Dakota,140
"August 9, 2015",South Dakota,127
"August 16, 2015",South Dakota,140
"August 23, 2015",South Dakota,162
"August 30, 2015",South Dakota,149
"September 6, 2015",South Dakota,128
"September 13, 2015",South Dakota,147
"September 20, 2015",South Dakota,172
"September 27, 2015",South Dakota,162
"October 4, 2015",South Dakota,141
"October 11, 2015",South Dakota,168
"October 18, 2015",South Dakota,154
"October 25, 2015",South Dakota,152
"November 1, 2015",South Dakota,134
"November 8, 2015",South Dakota,137
"November 15, 2015",South Dakota,149
"November 22, 2015",South Dakota,150
"November 29, 2015",South Dakota,164
"December 6, 2015",South Dakota,171
"December 13, 2015",South Dakota,163
"December 20, 2015",South Dakota,129
"December 27, 2015",South Dakota,171
"January 3, 2016",South Dakota,148
"January 10, 2016",South Dakota,138
"January 17, 2016",South Dakota,145
"January 24, 2016",South Dakota,153
"January 31, 2016",South Dakota,148
"February 7, 2016",South Dakota,156
"February 14, 2016",South Dakota,147
"February 21, 2016",South Dakota,150
"February 28, 2016",South Dakota,141
"March 6, 2016",South Dakota,148
"March 13, 2016",South Dakota,150
"March 20, 2016",South Dakota,184
"March 27, 2016",South Dakota,151
"April 3, 2016",South Dakota,179
"April 10, 2016",South Dakota,177
"April 17, 2016",South Dakota,155
"April 24, 2016",South Dakota,144
"May 1, 2016",South Dakota,143
"May 8, 2016",South Dakota,145
"May 15, 2016",South Dakota,166
"May 22, 2016",South Dakota,131
"May 29, 2016",South Dakota,118
"June 5, 2016",South Dakota,137
"June 12, 2016",South Dakota,158
"June 19, 2016",South Dakota,164
"June 26, 2016",South Dakota,131
"July 3, 2016",South Dakota,132
"July 10, 2016",South Dakota,159
"July 17, 2016",South Dakota,139
"July 24, 2016",South Dakota,158
"July 31, 2016",South Dakota,156
"August 7, 2016",South Dakota,150
"August 14, 2016",South Dakota,116
"August 21, 2016",South Dakota,150
"August 28, 2016",South Dakota,146
"September 4, 2016",South Dakota,148
"September 11, 2016",South Dakota,158
"September 18, 2016",South Dakota,122
"September 25, 2016",South Dakota,141
"October 2, 2016",South Dakota,161
"October 9, 2016",South Dakota,156
"October 16, 2016",South Dakota,144
"October 23, 2016",South Dakota,176
"October 30, 2016",South Dakota,143
"November 6, 2016",South Dakota,185
"November 13, 2016",South Dakota,154
"November 20, 2016",South Dakota,153
"November 27, 2016",South Dakota,160
"December 4, 2016",South Dakota,166
"December 11, 2016",South Dakota,183
"December 18, 2016",South Dakota,159
"December 25, 2016",South Dakota,168
"January 1, 2017",South Dakota,170
"January 8, 2017",South Dakota,180
"January 15, 2017",South Dakota,158
"January 22, 2017",South Dakota,175
"January 29, 2017",South Dakota,181
"February 5, 2017",South Dakota,196
"February 12, 2017",South Dakota,162
"February 19, 2017",South Dakota,175
"February 26, 2017",South Dakota,165
"March 5, 2017",South Dakota,162
"March 12, 2017",South Dakota,170
"March 19, 2017",South Dakota,165
"March 26, 2017",South Dakota,181
"April 2, 2017",South Dakota,163
"April 9, 2017",South Dakota,167
"April 16, 2017",South Dakota,145
"April 23, 2017",South Dakota,140
"April 30, 2017",South Dakota,156
"May 7, 2017",South Dakota,164
"May 14, 2017",South Dakota,130
"May 21, 2017",South Dakota,138
"May 28, 2017",South Dakota,159
"June 4, 2017",South Dakota,162
"June 11, 2017",South Dakota,135
"June 18, 2017",South Dakota,138
"June 25, 2017",South Dakota,153
"July 2, 2017",South Dakota,158
"July 9, 2017",South Dakota,129
"July 16, 2017",South Dakota,128
"July 23, 2017",South Dakota,146
"July 30, 2017",South Dakota,126
"August 6, 2017",South Dakota,167
"August 13, 2017",South Dakota,137
"August 20, 2017",South Dakota,139
"August 27, 2017",South Dakota,145
"September 3, 2017",South Dakota,117
"September 10, 2017",South Dakota,139
"September 17, 2017",South Dakota,159
"September 24, 2017",South Dakota,145
"October 1, 2017",South Dakota,172
"October 8, 2017",South Dakota,177
"October 15, 2017",South Dakota,159
"October 22, 2017",South Dakota,165
"October 29, 2017",South Dakota,171
"November 5, 2017",South Dakota,159
"November 12, 2017",South Dakota,143
"November 19, 2017",South Dakota,173
"November 26, 2017",South Dakota,166
"December 3, 2017",South Dakota,154
"December 10, 2017",South Dakota,144
"December 17, 2017",South Dakota,171
"December 24, 2017",South Dakota,135
"December 31, 2017",South Dakota,164
"January 7, 2018",South Dakota,156
"January 14, 2018",South Dakota,174
"January 21, 2018",South Dakota,194
"January 28, 2018",South Dakota,152
"February 4, 2018",South Dakota,158
"February 11, 2018",South Dakota,153
"February 18, 2018",South Dakota,167
"February 25, 2018",South Dakota,187
"March 4, 2018",South Dakota,183
"March 11, 2018",South Dakota,157
"March 18, 2018",South Dakota,143
"March 25, 2018",South Dakota,148
"April 1, 2018",South Dakota,150
"April 8, 2018",South Dakota,158
"April 15, 2018",South Dakota,147
"April 22, 2018",South Dakota,144
"April 29, 2018",South Dakota,153
"May 6, 2018",South Dakota,137
"May 13, 2018",South Dakota,154
"May 20, 2018",South Dakota,147
"May 27, 2018",South Dakota,134
"June 3, 2018",South Dakota,173
"June 10, 2018",South Dakota,159
"June 17, 2018",South Dakota,145
"June 24, 2018",South Dakota,132
"July 1, 2018",South Dakota,155
"July 8, 2018",South Dakota,148
"July 15, 2018",South Dakota,168
"July 22, 2018",South Dakota,151
"July 29, 2018",South Dakota,160
"August 5, 2018",South Dakota,136
"August 12, 2018",South Dakota,153
"August 19, 2018",South Dakota,114
"August 26, 2018",South Dakota,150
"September 2, 2018",South Dakota,155
"September 9, 2018",South Dakota,187
"September 16, 2018",South Dakota,144
"September 23, 2018",South Dakota,134
"September 30, 2018",South Dakota,144
"October 7, 2018",South Dakota,181
"October 14, 2018",South Dakota,186
"October 21, 2018",South Dakota,149
"October 28, 2018",South Dakota,167
"November 4, 2018",South Dakota,144
"November 11, 2018",South Dakota,130
"November 18, 2018",South Dakota,179
"November 25, 2018",South Dakota,160
"December 2, 2018",South Dakota,144
"December 9, 2018",South Dakota,141
"December 16, 2018",South Dakota,171
"December 23, 2018",South Dakota,167
"December 30, 2018",South Dakota,169
"January 6, 2019",South Dakota,161
"January 13, 2019",South Dakota,151
"January 20, 2019",South Dakota,164
"January 27, 2019",South Dakota,185
"February 3, 2019",South Dakota,149
"February 10, 2019",South Dakota,182
"February 17, 2019",South Dakota,157
"February 24, 2019",South Dakota,162
"March 3, 2019",South Dakota,176
"March 10, 2019",South Dakota,177
"March 17, 2019",South Dakota,162
"March 24, 2019",South Dakota,142
"March 31, 2019",South Dakota,167
"April 7, 2019",South Dakota,157
"April 14, 2019",South Dakota,187
"April 21, 2019",South Dakota,149
"April 28, 2019",South Dakota,184
"May 5, 2019",South Dakota,165
"May 12, 2019",South Dakota,133
"May 19, 2019",South Dakota,175
"May 26, 2019",South Dakota,152
"June 2, 2019",South Dakota,149
"June 9, 2019",South Dakota,154
"June 16, 2019",South Dakota,152
"June 23, 2019",South Dakota,163
"June 30, 2019",South Dakota,151
"July 7, 2019",South Dakota,152
"July 14, 2019",South Dakota,130
"July 21, 2019",South Dakota,146
"July 28, 2019",South Dakota,171
"August 4, 2019",South Dakota,160
"August 11, 2019",South Dakota,154
"August 18, 2019",South Dakota,176
"August 25, 2019",South Dakota,158
"September 1, 2019",South Dakota,166
"September 8, 2019",South Dakota,139
"September 15, 2019",South Dakota,166
"September 22, 2019",South Dakota,164
"September 29, 2019",South Dakota,162
"October 6, 2019",South Dakota,148
"October 13, 2019",South Dakota,166
"October 20, 2019",South Dakota,164
"October 27, 2019",South Dakota,169
"November 3, 2019",South Dakota,174
"November 10, 2019",South Dakota,184
"November 17, 2019",South Dakota,175
"November 24, 2019",South Dakota,146
"December 1, 2019",South Dakota,172
"December 8, 2019",South Dakota,151
"December 15, 2019",South Dakota,151
"December 22, 2019",South Dakota,155
"December 29, 2019",South Dakota,169
"January 5, 2020",South Dakota,169
"January 12, 2020",South Dakota,168
"January 19, 2020",South Dakota,150
"January 26, 2020",South Dakota,162
"February 2, 2020",South Dakota,150
"February 9, 2020",South Dakota,177
"February 16, 2020",South Dakota,176
"February 23, 2020",South Dakota,163
"March 1, 2020",South Dakota,194
"March 8, 2020",South Dakota,166
"March 15, 2020",South Dakota,161
"March 22, 2020",South Dakota,147
"March 29, 2020",South Dakota,170
"April 5, 2020",South Dakota,149
"April 12, 2020",South Dakota,152
"April 19, 2020",South Dakota,173
"April 26, 2020",South Dakota,155
"May 3, 2020",South Dakota,175
"May 10, 2020",South Dakota,143
"May 17, 2020",South Dakota,152
"May 24, 2020",South Dakota,145
"January 5, 2014",South Carolina,919
"January 12, 2014",South Carolina,949
"January 19, 2014",South Carolina,934
"January 26, 2014",South Carolina,878
"February 2, 2014",South Carolina,879
"February 9, 2014",South Carolina,939
"February 16, 2014",South Carolina,870
"February 23, 2014",South Carolina,872
"March 2, 2014",South Carolina,872
"March 9, 2014",South Carolina,869
"March 16, 2014",South Carolina,834
"March 23, 2014",South Carolina,865
"March 30, 2014",South Carolina,870
"April 6, 2014",South Carolina,854
"April 13, 2014",South Carolina,860
"April 20, 2014",South Carolina,835
"April 27, 2014",South Carolina,831
"May 4, 2014",South Carolina,833
"May 11, 2014",South Carolina,835
"May 18, 2014",South Carolina,809
"May 25, 2014",South Carolina,839
"June 1, 2014",South Carolina,751
"June 8, 2014",South Carolina,810
"June 15, 2014",South Carolina,824
"June 22, 2014",South Carolina,859
"June 29, 2014",South Carolina,768
"July 6, 2014",South Carolina,782
"July 13, 2014",South Carolina,815
"July 20, 2014",South Carolina,792
"July 27, 2014",South Carolina,839
"August 3, 2014",South Carolina,807
"August 10, 2014",South Carolina,767
"August 17, 2014",South Carolina,832
"August 24, 2014",South Carolina,840
"August 31, 2014",South Carolina,803
"September 7, 2014",South Carolina,782
"September 14, 2014",South Carolina,755
"September 21, 2014",South Carolina,830
"September 28, 2014",South Carolina,815
"October 5, 2014",South Carolina,856
"October 12, 2014",South Carolina,808
"October 19, 2014",South Carolina,896
"October 26, 2014",South Carolina,845
"November 2, 2014",South Carolina,948
"November 9, 2014",South Carolina,857
"November 16, 2014",South Carolina,828
"November 23, 2014",South Carolina,911
"November 30, 2014",South Carolina,896
"December 7, 2014",South Carolina,889
"December 14, 2014",South Carolina,956
"December 21, 2014",South Carolina,969
"December 28, 2014",South Carolina,1022
"January 4, 2015",South Carolina,1067
"January 11, 2015",South Carolina,1053
"January 18, 2015",South Carolina,982
"January 25, 2015",South Carolina,928
"February 1, 2015",South Carolina,948
"February 8, 2015",South Carolina,962
"February 15, 2015",South Carolina,989
"February 22, 2015",South Carolina,1047
"March 1, 2015",South Carolina,1024
"March 8, 2015",South Carolina,969
"March 15, 2015",South Carolina,953
"March 22, 2015",South Carolina,863
"March 29, 2015",South Carolina,938
"April 5, 2015",South Carolina,881
"April 12, 2015",South Carolina,829
"April 19, 2015",South Carolina,848
"April 26, 2015",South Carolina,857
"May 3, 2015",South Carolina,901
"May 10, 2015",South Carolina,849
"May 17, 2015",South Carolina,866
"May 24, 2015",South Carolina,817
"May 31, 2015",South Carolina,795
"June 7, 2015",South Carolina,801
"June 14, 2015",South Carolina,864
"June 21, 2015",South Carolina,883
"June 28, 2015",South Carolina,838
"July 5, 2015",South Carolina,856
"July 12, 2015",South Carolina,826
"July 19, 2015",South Carolina,764
"July 26, 2015",South Carolina,823
"August 2, 2015",South Carolina,822
"August 9, 2015",South Carolina,856
"August 16, 2015",South Carolina,823
"August 23, 2015",South Carolina,846
"August 30, 2015",South Carolina,812
"September 6, 2015",South Carolina,790
"September 13, 2015",South Carolina,841
"September 20, 2015",South Carolina,806
"September 27, 2015",South Carolina,858
"October 4, 2015",South Carolina,871
"October 11, 2015",South Carolina,914
"October 18, 2015",South Carolina,896
"October 25, 2015",South Carolina,890
"November 1, 2015",South Carolina,889
"November 8, 2015",South Carolina,840
"November 15, 2015",South Carolina,927
"November 22, 2015",South Carolina,849
"November 29, 2015",South Carolina,879
"December 6, 2015",South Carolina,955
"December 13, 2015",South Carolina,914
"December 20, 2015",South Carolina,971
"December 27, 2015",South Carolina,852
"January 3, 2016",South Carolina,945
"January 10, 2016",South Carolina,991
"January 17, 2016",South Carolina,996
"January 24, 2016",South Carolina,979
"January 31, 2016",South Carolina,925
"February 7, 2016",South Carolina,999
"February 14, 2016",South Carolina,1059
"February 21, 2016",South Carolina,957
"February 28, 2016",South Carolina,973
"March 6, 2016",South Carolina,919
"March 13, 2016",South Carolina,931
"March 20, 2016",South Carolina,866
"March 27, 2016",South Carolina,930
"April 3, 2016",South Carolina,890
"April 10, 2016",South Carolina,891
"April 17, 2016",South Carolina,901
"April 24, 2016",South Carolina,900
"May 1, 2016",South Carolina,791
"May 8, 2016",South Carolina,884
"May 15, 2016",South Carolina,829
"May 22, 2016",South Carolina,879
"May 29, 2016",South Carolina,893
"June 5, 2016",South Carolina,886
"June 12, 2016",South Carolina,854
"June 19, 2016",South Carolina,817
"June 26, 2016",South Carolina,828
"July 3, 2016",South Carolina,937
"July 10, 2016",South Carolina,854
"July 17, 2016",South Carolina,814
"July 24, 2016",South Carolina,856
"July 31, 2016",South Carolina,848
"August 7, 2016",South Carolina,895
"August 14, 2016",South Carolina,813
"August 21, 2016",South Carolina,811
"August 28, 2016",South Carolina,808
"September 4, 2016",South Carolina,919
"September 11, 2016",South Carolina,919
"September 18, 2016",South Carolina,890
"September 25, 2016",South Carolina,883
"October 2, 2016",South Carolina,855
"October 9, 2016",South Carolina,949
"October 16, 2016",South Carolina,822
"October 23, 2016",South Carolina,841
"October 30, 2016",South Carolina,838
"November 6, 2016",South Carolina,926
"November 13, 2016",South Carolina,915
"November 20, 2016",South Carolina,945
"November 27, 2016",South Carolina,983
"December 4, 2016",South Carolina,909
"December 11, 2016",South Carolina,905
"December 18, 2016",South Carolina,1012
"December 25, 2016",South Carolina,1022
"January 1, 2017",South Carolina,966
"January 8, 2017",South Carolina,992
"January 15, 2017",South Carolina,975
"January 22, 2017",South Carolina,969
"January 29, 2017",South Carolina,970
"February 5, 2017",South Carolina,966
"February 12, 2017",South Carolina,986
"February 19, 2017",South Carolina,964
"February 26, 2017",South Carolina,947
"March 5, 2017",South Carolina,973
"March 12, 2017",South Carolina,936
"March 19, 2017",South Carolina,994
"March 26, 2017",South Carolina,955
"April 2, 2017",South Carolina,1000
"April 9, 2017",South Carolina,933
"April 16, 2017",South Carolina,915
"April 23, 2017",South Carolina,916
"April 30, 2017",South Carolina,863
"May 7, 2017",South Carolina,891
"May 14, 2017",South Carolina,923
"May 21, 2017",South Carolina,896
"May 28, 2017",South Carolina,892
"June 4, 2017",South Carolina,922
"June 11, 2017",South Carolina,882
"June 18, 2017",South Carolina,909
"June 25, 2017",South Carolina,926
"July 2, 2017",South Carolina,867
"July 9, 2017",South Carolina,858
"July 16, 2017",South Carolina,890
"July 23, 2017",South Carolina,894
"July 30, 2017",South Carolina,905
"August 6, 2017",South Carolina,868
"August 13, 2017",South Carolina,884
"August 20, 2017",South Carolina,847
"August 27, 2017",South Carolina,894
"September 3, 2017",South Carolina,908
"September 10, 2017",South Carolina,875
"September 17, 2017",South Carolina,885
"September 24, 2017",South Carolina,897
"October 1, 2017",South Carolina,906
"October 8, 2017",South Carolina,876
"October 15, 2017",South Carolina,890
"October 22, 2017",South Carolina,949
"October 29, 2017",South Carolina,967
"November 5, 2017",South Carolina,919
"November 12, 2017",South Carolina,947
"November 19, 2017",South Carolina,948
"November 26, 2017",South Carolina,930
"December 3, 2017",South Carolina,939
"December 10, 2017",South Carolina,976
"December 17, 2017",South Carolina,1076
"December 24, 2017",South Carolina,1011
"December 31, 2017",South Carolina,1048
"January 7, 2018",South Carolina,1128
"January 14, 2018",South Carolina,1124
"January 21, 2018",South Carolina,1133
"January 28, 2018",South Carolina,1154
"February 4, 2018",South Carolina,1067
"February 11, 2018",South Carolina,1066
"February 18, 2018",South Carolina,958
"February 25, 2018",South Carolina,958
"March 4, 2018",South Carolina,979
"March 11, 2018",South Carolina,996
"March 18, 2018",South Carolina,956
"March 25, 2018",South Carolina,985
"April 1, 2018",South Carolina,927
"April 8, 2018",South Carolina,1001
"April 15, 2018",South Carolina,934
"April 22, 2018",South Carolina,899
"April 29, 2018",South Carolina,920
"May 6, 2018",South Carolina,878
"May 13, 2018",South Carolina,926
"May 20, 2018",South Carolina,890
"May 27, 2018",South Carolina,917
"June 3, 2018",South Carolina,882
"June 10, 2018",South Carolina,834
"June 17, 2018",South Carolina,905
"June 24, 2018",South Carolina,858
"July 1, 2018",South Carolina,849
"July 8, 2018",South Carolina,886
"July 15, 2018",South Carolina,889
"July 22, 2018",South Carolina,902
"July 29, 2018",South Carolina,921
"August 5, 2018",South Carolina,965
"August 12, 2018",South Carolina,903
"August 19, 2018",South Carolina,819
"August 26, 2018",South Carolina,910
"September 2, 2018",South Carolina,844
"September 9, 2018",South Carolina,922
"September 16, 2018",South Carolina,906
"September 23, 2018",South Carolina,941
"September 30, 2018",South Carolina,915
"October 7, 2018",South Carolina,889
"October 14, 2018",South Carolina,936
"October 21, 2018",South Carolina,905
"October 28, 2018",South Carolina,944
"November 4, 2018",South Carolina,955
"November 11, 2018",South Carolina,986
"November 18, 2018",South Carolina,930
"November 25, 2018",South Carolina,1010
"December 2, 2018",South Carolina,951
"December 9, 2018",South Carolina,1057
"December 16, 2018",South Carolina,1006
"December 23, 2018",South Carolina,967
"December 30, 2018",South Carolina,990
"January 6, 2019",South Carolina,999
"January 13, 2019",South Carolina,1034
"January 20, 2019",South Carolina,1034
"January 27, 2019",South Carolina,1015
"February 3, 2019",South Carolina,1037
"February 10, 2019",South Carolina,1001
"February 17, 2019",South Carolina,1035
"February 24, 2019",South Carolina,936
"March 3, 2019",South Carolina,1006
"March 10, 2019",South Carolina,1005
"March 17, 2019",South Carolina,1044
"March 24, 2019",South Carolina,931
"March 31, 2019",South Carolina,983
"April 7, 2019",South Carolina,925
"April 14, 2019",South Carolina,889
"April 21, 2019",South Carolina,937
"April 28, 2019",South Carolina,973
"May 5, 2019",South Carolina,938
"May 12, 2019",South Carolina,996
"May 19, 2019",South Carolina,968
"May 26, 2019",South Carolina,937
"June 2, 2019",South Carolina,919
"June 9, 2019",South Carolina,964
"June 16, 2019",South Carolina,959
"June 23, 2019",South Carolina,890
"June 30, 2019",South Carolina,936
"July 7, 2019",South Carolina,855
"July 14, 2019",South Carolina,916
"July 21, 2019",South Carolina,910
"July 28, 2019",South Carolina,864
"August 4, 2019",South Carolina,961
"August 11, 2019",South Carolina,885
"August 18, 2019",South Carolina,911
"August 25, 2019",South Carolina,901
"September 1, 2019",South Carolina,930
"September 8, 2019",South Carolina,902
"September 15, 2019",South Carolina,921
"September 22, 2019",South Carolina,938
"September 29, 2019",South Carolina,940
"October 6, 2019",South Carolina,901
"October 13, 2019",South Carolina,891
"October 20, 2019",South Carolina,970
"October 27, 2019",South Carolina,953
"November 3, 2019",South Carolina,933
"November 10, 2019",South Carolina,947
"November 17, 2019",South Carolina,963
"November 24, 2019",South Carolina,1010
"December 1, 2019",South Carolina,1052
"December 8, 2019",South Carolina,1048
"December 15, 2019",South Carolina,1037
"December 22, 2019",South Carolina,1024
"December 29, 2019",South Carolina,1085
"January 5, 2020",South Carolina,1080
"January 12, 2020",South Carolina,1048
"January 19, 2020",South Carolina,1033
"January 26, 2020",South Carolina,1031
"February 2, 2020",South Carolina,1096
"February 9, 2020",South Carolina,1003
"February 16, 2020",South Carolina,1034
"February 23, 2020",South Carolina,1042
"March 1, 2020",South Carolina,1132
"March 8, 2020",South Carolina,1103
"March 15, 2020",South Carolina,1067
"March 22, 2020",South Carolina,1037
"March 29, 2020",South Carolina,1048
"April 5, 2020",South Carolina,1132
"April 12, 2020",South Carolina,1046
"April 19, 2020",South Carolina,1010
"April 26, 2020",South Carolina,1024
"May 3, 2020",South Carolina,1057
"May 10, 2020",South Carolina,1103
"May 17, 2020",South Carolina,1035
"May 24, 2020",South Carolina,1035
"January 5, 2014",Rhode Island,208
"January 12, 2014",Rhode Island,187
"January 19, 2014",Rhode Island,173
"January 26, 2014",Rhode Island,194
"February 2, 2014",Rhode Island,189
"February 9, 2014",Rhode Island,206
"February 16, 2014",Rhode Island,223
"February 23, 2014",Rhode Island,196
"March 2, 2014",Rhode Island,209
"March 9, 2014",Rhode Island,215
"March 16, 2014",Rhode Island,203
"March 23, 2014",Rhode Island,186
"March 30, 2014",Rhode Island,201
"April 6, 2014",Rhode Island,219
"April 13, 2014",Rhode Island,183
"April 20, 2014",Rhode Island,217
"April 27, 2014",Rhode Island,195
"May 4, 2014",Rhode Island,206
"May 11, 2014",Rhode Island,183
"May 18, 2014",Rhode Island,205
"May 25, 2014",Rhode Island,192
"June 1, 2014",Rhode Island,178
"June 8, 2014",Rhode Island,180
"June 15, 2014",Rhode Island,160
"June 22, 2014",Rhode Island,183
"June 29, 2014",Rhode Island,156
"July 6, 2014",Rhode Island,194
"July 13, 2014",Rhode Island,182
"July 20, 2014",Rhode Island,183
"July 27, 2014",Rhode Island,166
"August 3, 2014",Rhode Island,172
"August 10, 2014",Rhode Island,177
"August 17, 2014",Rhode Island,175
"August 24, 2014",Rhode Island,179
"August 31, 2014",Rhode Island,199
"September 7, 2014",Rhode Island,166
"September 14, 2014",Rhode Island,160
"September 21, 2014",Rhode Island,169
"September 28, 2014",Rhode Island,178
"October 5, 2014",Rhode Island,188
"October 12, 2014",Rhode Island,204
"October 19, 2014",Rhode Island,181
"October 26, 2014",Rhode Island,196
"November 2, 2014",Rhode Island,197
"November 9, 2014",Rhode Island,175
"November 16, 2014",Rhode Island,191
"November 23, 2014",Rhode Island,179
"November 30, 2014",Rhode Island,199
"December 7, 2014",Rhode Island,198
"December 14, 2014",Rhode Island,224
"December 21, 2014",Rhode Island,230
"December 28, 2014",Rhode Island,214
"January 4, 2015",Rhode Island,208
"January 11, 2015",Rhode Island,240
"January 18, 2015",Rhode Island,220
"January 25, 2015",Rhode Island,251
"February 1, 2015",Rhode Island,218
"February 8, 2015",Rhode Island,242
"February 15, 2015",Rhode Island,202
"February 22, 2015",Rhode Island,235
"March 1, 2015",Rhode Island,211
"March 8, 2015",Rhode Island,221
"March 15, 2015",Rhode Island,208
"March 22, 2015",Rhode Island,214
"March 29, 2015",Rhode Island,216
"April 5, 2015",Rhode Island,203
"April 12, 2015",Rhode Island,199
"April 19, 2015",Rhode Island,193
"April 26, 2015",Rhode Island,212
"May 3, 2015",Rhode Island,196
"May 10, 2015",Rhode Island,181
"May 17, 2015",Rhode Island,215
"May 24, 2015",Rhode Island,176
"May 31, 2015",Rhode Island,181
"June 7, 2015",Rhode Island,202
"June 14, 2015",Rhode Island,180
"June 21, 2015",Rhode Island,176
"June 28, 2015",Rhode Island,182
"July 5, 2015",Rhode Island,192
"July 12, 2015",Rhode Island,205
"July 19, 2015",Rhode Island,205
"July 26, 2015",Rhode Island,186
"August 2, 2015",Rhode Island,169
"August 9, 2015",Rhode Island,184
"August 16, 2015",Rhode Island,189
"August 23, 2015",Rhode Island,168
"August 30, 2015",Rhode Island,175
"September 6, 2015",Rhode Island,188
"September 13, 2015",Rhode Island,173
"September 20, 2015",Rhode Island,197
"September 27, 2015",Rhode Island,185
"October 4, 2015",Rhode Island,209
"October 11, 2015",Rhode Island,221
"October 18, 2015",Rhode Island,207
"October 25, 2015",Rhode Island,186
"November 1, 2015",Rhode Island,208
"November 8, 2015",Rhode Island,168
"November 15, 2015",Rhode Island,207
"November 22, 2015",Rhode Island,179
"November 29, 2015",Rhode Island,205
"December 6, 2015",Rhode Island,203
"December 13, 2015",Rhode Island,181
"December 20, 2015",Rhode Island,179
"December 27, 2015",Rhode Island,187
"January 3, 2016",Rhode Island,210
"January 10, 2016",Rhode Island,180
"January 17, 2016",Rhode Island,186
"January 24, 2016",Rhode Island,223
"January 31, 2016",Rhode Island,215
"February 7, 2016",Rhode Island,215
"February 14, 2016",Rhode Island,227
"February 21, 2016",Rhode Island,212
"February 28, 2016",Rhode Island,197
"March 6, 2016",Rhode Island,204
"March 13, 2016",Rhode Island,197
"March 20, 2016",Rhode Island,210
"March 27, 2016",Rhode Island,168
"April 3, 2016",Rhode Island,182
"April 10, 2016",Rhode Island,212
"April 17, 2016",Rhode Island,207
"April 24, 2016",Rhode Island,205
"May 1, 2016",Rhode Island,187
"May 8, 2016",Rhode Island,194
"May 15, 2016",Rhode Island,190
"May 22, 2016",Rhode Island,184
"May 29, 2016",Rhode Island,171
"June 5, 2016",Rhode Island,166
"June 12, 2016",Rhode Island,170
"June 19, 2016",Rhode Island,184
"June 26, 2016",Rhode Island,159
"July 3, 2016",Rhode Island,172
"July 10, 2016",Rhode Island,169
"July 17, 2016",Rhode Island,173
"July 24, 2016",Rhode Island,186
"July 31, 2016",Rhode Island,187
"August 7, 2016",Rhode Island,190
"August 14, 2016",Rhode Island,172
"August 21, 2016",Rhode Island,176
"August 28, 2016",Rhode Island,191
"September 4, 2016",Rhode Island,178
"September 11, 2016",Rhode Island,162
"September 18, 2016",Rhode Island,186
"September 25, 2016",Rhode Island,200
"October 2, 2016",Rhode Island,214
"October 9, 2016",Rhode Island,194
"October 16, 2016",Rhode Island,178
"October 23, 2016",Rhode Island,190
"October 30, 2016",Rhode Island,168
"November 6, 2016",Rhode Island,199
"November 13, 2016",Rhode Island,205
"November 20, 2016",Rhode Island,182
"November 27, 2016",Rhode Island,200
"December 4, 2016",Rhode Island,204
"December 11, 2016",Rhode Island,202
"December 18, 2016",Rhode Island,234
